"YEAR","STATE","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"VIC","26-39","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","26-39","Mobile Phone Use","Auto detection camera",387,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto detection camera",217,0,0
2024,"VIC","26-39","Speed Fines","Auto detection camera",503,0,0
2024,"VIC","26-39","Speed Fines","Auto detection camera",1956,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto detection camera",502,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto detection camera",338,0,0
2024,"VIC","40-64","Speed Fines","Auto detection camera",882,0,0
2024,"VIC","40-64","Speed Fines","Auto detection camera",3176,0,0
2024,"VIC","65 and over","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","65 and over","Mobile Phone Use","Auto detection camera",85,0,0
2024,"VIC","65 and over","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","65 and over","Non Wearing Seatbelts","Auto detection camera",124,0,0
2024,"VIC","65 and over","Speed Fines","Auto detection camera",377,0,0
2024,"VIC","65 and over","Speed Fines","Auto detection camera",1306,0,0
2024,"VIC","Unknown","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","Unknown","Mobile Phone Use","Auto detection camera",330,0,0
2024,"VIC","Unknown","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","Unknown","Non Wearing Seatbelts","Auto detection camera",163,0,0
2024,"VIC","Unknown","Speed Fines","Auto detection camera",32,0,0
2024,"VIC","Unknown","Speed Fines","Auto detection camera",119,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","0-16","Speed Fines","Auto detection camera",0,0,0
2024,"VIC","0-16","Speed Fines","Auto detection camera",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto detection camera",290,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto detection camera",260,0,0
2024,"VIC","17-25","Speed Fines","Auto detection camera",3335,0,0
2024,"VIC","17-25","Speed Fines","Auto detection camera",2263,0,0
2024,"VIC","26-39","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","26-39","Mobile Phone Use","Auto detection camera",1402,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto detection camera",1167,0,0
2024,"VIC","26-39","Speed Fines","Auto detection camera",12612,0,0
2024,"VIC","26-39","Speed Fines","Auto detection camera",8905,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto detection camera",1884,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto detection camera",1662,0,0
2024,"VIC","40-64","Speed Fines","Auto detection camera",21894,0,0
2024,"VIC","40-64","Speed Fines","Auto detection camera",13426,0,0
2024,"VIC","65 and over","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","65 and over","Mobile Phone Use","Auto detection camera",289,0,0
2024,"VIC","65 and over","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","65 and over","Non Wearing Seatbelts","Auto detection camera",521,0,0
2024,"VIC","65 and over","Speed Fines","Auto detection camera",6792,0,0
2024,"VIC","65 and over","Speed Fines","Auto detection camera",4162,0,0
2024,"VIC","Unknown","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","Unknown","Mobile Phone Use","Auto detection camera",1223,0,0
2024,"VIC","Unknown","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","Unknown","Non Wearing Seatbelts","Auto detection camera",954,0,0
2024,"VIC","Unknown","Speed Fines","Auto detection camera",1063,0,0
2024,"VIC","Unknown","Speed Fines","Auto detection camera",625,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","0-16","Speed Fines","Auto detection camera",0,0,0
2024,"VIC","0-16","Speed Fines","Auto detection camera",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","17-25","Speed Fines","Auto detection camera",5,0,0
2024,"VIC","17-25","Speed Fines","Auto detection camera",101,0,0
2024,"VIC","26-39","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","26-39","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","26-39","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","26-39","Speed Fines","Auto detection camera",7,0,0
2024,"VIC","26-39","Speed Fines","Auto detection camera",354,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","40-64","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","40-64","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","40-64","Speed Fines","Auto detection camera",19,0,0
2024,"VIC","40-64","Speed Fines","Auto detection camera",636,0,0
2024,"VIC","65 and over","Mobile Phone Use","Auto detection camera",0,0,0
